filename,basic_ntokens,basic_ntypes,basic_ncontent_tokens,basic_ncontent_types,basic_nfunction_tokens,basic_nfunction_types,lexical_density_types,lexical_density_tokens,simple_ttr_aw,root_ttr_aw,log_ttr_aw,maas_ttr_aw,mattr50_aw,msttr50_aw,hdd42_aw,mtld_original_aw,mtld_ma_bi_aw,mtld_ma_wrap_aw
ci2cw6e.txt,69,51,31,28,38,23,0.5490196078431373,0.4492753623188406,0.7391304347826086,6.139678507374229,0.9286081085714951,0.038824225320132966,0.8020000000000002,0.78,0.8119788178382671,74.05999999999999,0.0,68.86764705882354
cny94zb.txt,73,51,34,29,39,22,0.5686274509803921,0.4657534246575342,0.6986301369863014,5.969098507002659,0.9164113276577035,0.04486000474275987,0.7174999999999998,0.76,0.7849361865838986,61.611436783782764,41.89935064935065,56.24657534246575
clmi7xg.txt,22,17,7,7,15,10,0.4117647058823529,0.3181818181818182,0.7727272727272727,3.624412178045377,0.9165882988692126,0.06213519953320475,0.7727272727272727,0.7727272727272727,0.0,27.104,0.0,24.0
cfx6v9d.txt,146,86,71,51,75,35,0.5930232558139535,0.4863013698630137,0.589041095890411,7.117410641980364,0.8937999393552849,0.04906781274637608,0.7738144329896903,0.69,0.7990794693439651,33.589411492738535,42.765540381445724,50.602739726027394
caujut4.txt,191,81,88,47,103,34,0.5802469135802469,0.4607329842931937,0.42408376963350786,5.860954302868615,0.8366756253028463,0.07160104584275293,0.6715492957746481,0.66,0.7081651932031504,36.116363636363644,33.475930444212075,34.712041884816756
ckogjl3.txt,80,53,32,24,48,29,0.4528301886792453,0.4,0.6625,5.925580140374443,0.9060401144384185,0.04937227677294234,0.7438709677419356,0.74,0.7795254323735331,61.22752953261427,55.766666666666666,57.475
clvf0r2.txt,60,40,27,23,33,17,0.575,0.45,0.6666666666666666,5.163977794943222,0.9009694709504105,0.055692972703094444,0.6581818181818182,0.66,0.7163109565352015,41.40051605504587,23.930059523809526,38.13333333333333
ckw2jzz.txt,54,45,25,24,29,21,0.5333333333333333,0.46296296296296297,0.8333333333333334,6.123724356957945,0.9542937362833053,0.026383299672798052,0.8400000000000001,0.84,0.8644573455894203,90.72000000000004,0.0,63.0
jxsj5j.txt,12,12,8,8,4,4,0.6666666666666666,0.6666666666666666,1.0,3.464101615137755,1.0,0.0,1.0,1.0,0.0,0.0,0.0,17.0
caxh01x.txt,130,89,66,54,64,35,0.6067415730337079,0.5076923076923077,0.6846153846153846,7.80581637183256,0.922158110110966,0.036823072767815254,0.7975308641975315,0.81,0.8253451832356143,80.42854695305596,50.342558651026394,77.23076923076923
